FILE_NAME,AGENCY_NAME,AGENCY_CODE,Agency_code_subcode,CLIENT_CODE,RO_CLIENT_NAME,RO_CLIENT_CODE,RO_NUMBER,RO_DATE,GSTIN,CATEGORY,COLOUR,PACKAGE_NAME,INSERT_DATE,RO_REMARKS,Newspaper Name,BRAND,AD_CAT,AD_SUBCAT,AD_HEIGHT,AD_WIDTH,AD_SIZE,PAGE_PREMIUM,POSITIONING,RO_RATE,RO_AMOUNT,AD_DISCOUNT
44422-4.pdf,DIPR Haryana,None,DI11DIP1,CO898,"Police, Commissioner of Police Faridabad",-,1084/11/4655/2027/44422/1/4,06/04/2026,04RTKP01603A1DT,Others,B,AU-CHA,07-04-2026,NOTICE,Amar Ujala Chandigarh,NONE,GO2,GO8,1,80.0,80.0,YES,Any Page,44.49,3559.2,1.0
44422-6.pdf,DIPR Haryana,None,DI11DIP1,CO898,"Police, Commissioner of Police Faridabad",-,1084/11/4655/2027/44422/1/6,06/04/2026,04RTKP01603A1DT,Others,B,"AU-HIS, AU-KNL, AU-RTK",07-04-2026,NOTICE,Amar Ujala Hisar,NONE,GO2,GO8,1,80.0,80.0,YES,Any Page,109.41,8752.8,1.0
44422-7.pdf,DIPR Haryana,None,DI11DIP1,CO898,"Police, Commissioner of Police Faridabad",-,1084/11/4655/2027/44422/1/7,06/04/2026,04RTKP01603A1DT,Others,B,AU-NWD,07-04-2026,NOTICE,Amar Ujala Delhi,NONE,GO2,GO8,1,80.0,80.0,YES,Any Page,81.39,6511.2,1.0
44425-6.pdf,DIPR Haryana,None,DI11DIP1,-,"Higher Education, Principal Hansi",-,1031/11/359/2027/44425/1/6,06/04/2026,04RTKP01603A1DT,Public Notices,B,AU-HIS,07-04-2026,NOTICE,Amar Ujala Hisar,NONE,GO2,GO8,1,56.0,56.0,YES,Any Page,32.46,1817.76,1.0
44462-4.pdf,DIPR Haryana,None,DI11DIP1,SU3512,"Police, Superintendent of Police Panchkula",-,1084/11/4662/2027/44462/1/4,07/04/2026,04RTKP01603A1DT,Others,B,AU-CHA,08-04-2026,NOTICE,Amar Ujala Chandigarh,NONE,GO2,GO8,1,80.0,80.0,YES,Any Page,44.49,3559.2,1.0
44462-6.pdf,DIPR Haryana,None,DI11DIP1,SU3512,"Police, Superintendent of Police Panchkula",-,1084/11/4662/2027/44462/1/6,07/04/2026,04RTKP01603A1DT,Others,B,"AU-HIS, AU-KNL, AU-RTK",08-04-2026,NOTICE,Amar Ujala Hisar,NONE,GO2,GO8,1,80.0,80.0,YES,Any Page,109.41,8752.8,1.0
44462-7.pdf,DIPR Haryana,None,DI11DIP1,SU3512,"Police, Superintendent of Police Panchkula",-,1084/11/4662/2027/44462/1/7,07/04/2026,04RTKP01603A1DT,Others,B,AU-NWD,08-04-2026,NOTICE,Amar Ujala Delhi,NONE,GO2,GO8,1,80.0,80.0,YES,Any Page,81.39,6511.2,1.0
44483-4.pdf,DIPR Haryana,None,DI11DIP1,SU2280,"Police, Superintendent of Police Kurukshetra",-,1084/11/4668/2027/44483/1/4,07/04/2026,04RTKP01603A1DT,Announcements,B,AU-CHA,08-04-2026,NOTICE,Amar Ujala Chandigarh,NONE,GO2,GO8,1,80.0,80.0,YES,Any Page,44.49,3559.2,1.0
44483-6.pdf,DIPR Haryana,None,DI11DIP1,SU2280,"Police, Superintendent of Police Kurukshetra",-,1084/11/4668/2027/44483/1/6,07/04/2026,04RTKP01603A1DT,Announcements,B,"AU-HIS, AU-KNL, AU-RTK",08-04-2026,NOTICE,Amar Ujala Hisar,NONE,GO2,GO8,1,80.0,80.0,YES,Any Page,109.41,8752.8,1.0
44483-7.pdf,DIPR Haryana,None,DI11DIP1,SU2280,"Police, Superintendent of Police Kurukshetra",-,1084/11/4668/2027/44483/1/7,07/04/2026,04RTKP01603A1DT,Announcements,B,AU-NWD,08-04-2026,NOTICE,Amar Ujala Delhi,NONE,GO2,GO8,1,80.0,80.0,YES,Any Page,81.39,6511.2,1.0
